City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,pelabuhanratu,-6.9875,106.5514,30.3,69,100,2.52,ID,1732592123
349,tongouson,5.0214,120.1328,28.32,74,99,1.76,PH,1732592123
350,cradock,-32.1642,25.6192,16.06,81,92,2.49,ZA,1732592123
351,cuttack,20.465,85.8793,20.1,47,100,2.83,IN,1732592123
352,mikun',62.3547,50.0771,-0.3,78,100,6.47,RU,1732592123
353,ola,59.5833,151.2833,-12.6,66,60,4.47,RU,1732592123
354,montrose,38.4166,-108.2673,-0.82,91,96,2.98,US,1732592124
355,kingston,17.997,-76.7936,27.53,83,75,5.14,JM,1732591828
356,greymouth,-42.4667,171.2,16.45,77,100,3.56,NZ,1732592124
357,itaituba,-4.2761,-55.9836,27.71,59,100,1.2,BR,1732592124
